,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
64,Wolfie (feat. Julia Stone),Wolfie / Funeral,Golden Features,29/11/2016,2016,203636,48,0.0642,0.599,0.585,0.000207,0.0743,0.214,-7.284,0.0725,119.985,4
65,Free,Free,Broods,1/04/2016,2016,222840,0,0.021,0.607,0.757,0,0.248,0.446,-3.536,0.0563,89.992,4
66,Famous,Famous,Kanye West,28/03/2016,2016,196280,0,0.0479,0.357,0.751,0,0.123,0.455,-3.771,0.176,174,4
67,No Shade,No Shade,Violent Soho,30/09/2016,2016,250973,0,0.0229,0.658,0.934,0.000207,0.0927,0.623,-4.861,0.0401,122.006,4
68,Lost (Season One),Lost (Season One),Camp Cope,22/01/2016,2016,232143,18,0.00963,0.302,0.859,0.043,0.105,0.684,-3.066,0.0453,155.676,4
69,Because I'm Me,Wildflower,The Avalanches,8/07/2016,2016,252800,23,0.0491,0.472,0.805,0.0162,0.337,0.512,-5.793,0.086,94.922,4
70,This Could Be Heartbreak,This Could Be Heartbreak,The Amity Affliction,11/07/2016,2016,233760,22,0.101,0.568,0.99,0,0.356,0.545,-2.906,0.0826,131.991,4
71,Soundcheck,Soundcheck,Catfish and the Bottlemen,16/02/2016,2016,261560,0,0.00112,0.602,0.749,0.0764,0.413,0.618,-5.794,0.0385,135.041,4
72,Settle,Settle,Vera Blue,11/03/2016,2016,218230,0,0.331,0.605,0.457,0.0205,0.113,0.201,-7.105,0.0321,81.96,4
73,Burn the Witch,Burn the Witch,Radiohead,3/05/2016,2016,220609,14,0.303,0.541,0.847,0.271,0.109,0.62,-6.52,0.0297,148.937,4
74,Panda,Panda,Desiigner,26/02/2016,2016,247866,1,0.0241,0.679,0.734,1.65E-06,0.369,0.245,-5.542,0.444,145.028,4
75,Gemini Feed,Gemini Feed,BANKS,2/08/2016,2016,186333,33,0.203,0.768,0.654,0.000235,0.168,0.543,-6.223,0.0762,102.01,4
76,Think About It,Think About It,Thundamentals,18/11/2016,2016,234103,0,0.0176,0.69,0.919,0.000283,0.0897,0.269,-3.593,0.0383,122.015,4
77,Simulation,Tkay,Tkay Maidza,28/10/2016,2016,205826,18,0.0708,0.776,0.89,0.000268,0.308,0.916,-4.395,0.049,104.99,4
78,Pink + White,Blonde,Frank Ocean,20/08/2016,2016,184516,78,0.67,0.544,0.552,4.57E-05,0.415,0.554,-7.45,0.0991,159.738,3
79,My Love Is Gone,My Love Is Gone,SAFIA,2/09/2016,2016,257353,25,0.0212,0.731,0.778,0.000169,0.473,0.761,-5.803,0.0473,125.03,4
80,Dopamine (feat. Thief),Dopamine (feat. Thief),Bliss n Eso,29/09/2016,2016,212994,0,0.174,0.557,0.754,0.00028,0.339,0.284,-7.508,0.225,171.939,4
81,Uptown Folks,Uptown Folks,DOPE LEMON,11/03/2016,2016,288013,0,0.0846,0.475,0.824,0.155,0.136,0.408,-4.935,0.0395,117.239,4
82,Me and Your Mama,Me and Your Mama,Childish Gambino,10/11/2016,2016,379213,0,0.0116,0.555,0.454,0.0294,0.0708,0.214,-11.806,0.0338,118.003,3
83,Over You,Over You,SAFIA,1/07/2016,2016,187915,0,0.0145,0.597,0.544,3.02E-06,0.127,0.607,-6.711,0.0859,177.807,4
84,Anything Near Conviction,Anything Near Conviction,Luca Brasi,8/03/2016,2016,227738,17,0.000507,0.504,0.961,0.000112,0.273,0.531,-4.876,0.0645,154.161,4
85,Subways,Subways,The Avalanches,22/06/2016,2016,190906,0,0.17,0.502,0.867,0.0247,0.638,0.547,-6.77,0.0614,111.788,3
86,How To Taste,WACO,Violent Soho,18/03/2016,2016,270773,0,0.000117,0.493,0.91,0.00451,0.425,0.591,-7.184,0.0335,152.98,4
87,High And Low,High And Low,Empire of the Sun,24/08/2016,2016,224840,0,0.0193,0.508,0.782,3.03E-06,0.089,0.286,-4.667,0.0454,126.917,4
88,Fading,Fading,Vallis Alps,17/11/2016,2016,280055,49,0.515,0.662,0.482,0.00553,0.119,0.294,-9.786,0.0464,98.05,4
89,Lose It,Skin,Flume,27/05/2016,2016,225852,0,0.0847,0.606,0.854,0,0.215,0.605,-2.765,0.322,129.977,4
90,Hanging by a Thread (feat. Natalie Foster),Hanging by a Thread (feat. Natalie Foster),Elk Road,2/09/2016,2016,203800,0,0.0104,0.77,0.794,0.0327,0.13,0.107,-5.51,0.026,105.007,4
91,You Don't Think You Like People Like Me,You Don't Think You Like People Like Me,Alex Lahey,23/02/2016,2016,227000,0,0.0179,0.583,0.935,0,0.144,0.549,-2.851,0.186,157.994,4
92,Season 2 Episode 3,Season 2 Episode 3,Glass Animals,22/08/2016,2016,243509,0,0.565,0.739,0.283,2.77E-05,0.239,0.666,-7.965,0.114,148.01,4
93,Too Good,Views,Drake,6/05/2016,2016,263373,1,0.0573,0.804,0.648,3.49E-05,0.102,0.392,-7.805,0.117,117.983,4
94,Brace,Brace,Birds Of Tokyo,21/09/2016,2016,288431,0,0.000939,0.477,0.779,9.51E-06,0.0773,0.133,-5.107,0.0313,157.98,4
95,Panda,Panda,Desiigner,15/12/2015,2015,246595,0,0.15,0.802,0.639,0,0.37,0.35,-7.905,0.361,145.276,4
96,Starboy,Starboy,The Weeknd,21/09/2016,2016,230466,0,0.145,0.679,0.599,2.17E-06,0.143,0.511,-7.081,0.282,185.999,4
97,Starboy,Starboy,The Weeknd,21/09/2016,2016,230466,0,0.145,0.679,0.599,2.17E-06,0.143,0.511,-7.081,0.282,185.999,4
0,HUMBLE.,DAMN.,Kendrick Lamar,14/04/2017,2017,177000,1,0.000243,0.906,0.625,3.23E-05,0.0975,0.423,-6.779,0.0903,150.018,4
1,Let Me Down Easy,Go Farther In Lightness,Gang of Youths,18/08/2017,2017,319346,61,0.22,0.672,0.899,0.302,0.142,0.927,-6.878,0.0323,139.01,4
2,Chateau,Snow,Angus & Julia Stone,15/09/2017,2017,273533,60,0.637,0.661,0.589,0.863,0.111,0.603,-11.217,0.0368,129.987,4
3,Ubu,Ubu,Methyl Ethel,24/01/2017,2017,302786,36,0.00598,0.683,0.722,0.0211,0.115,0.882,-8.321,0.0366,129.991,4
4,"The Deepest Sighs, the Frankest Shadows",Go Farther In Lightness,Gang of Youths,18/08/2017,2017,351613,52,0.0565,0.355,0.812,0.00972,0.141,0.139,-5.861,0.0767,151.818,4
5,Green Light,Melodrama,Lorde,16/06/2017,2017,234652,0,0.0162,0.616,0.714,1.23E-05,0.0817,0.24,-7.792,0.0982,128.924,4
6,Go Bang,Changa,PNAU,10/11/2017,2017,189092,0,0.0714,0.598,0.893,0.0159,0.146,0.485,-3.072,0.0319,120.972,4
7,Sally,Everyone We Know,Thundamentals,10/02/2017,2017,226560,0,0.227,0.723,0.866,0,0.194,0.59,-2.989,0.112,107.944,4
8,Lay It On Me,Lay It On Me,Vance Joy,14/07/2017,2017,214699,0,0.116,0.733,0.673,7.96E-06,0.068,0.487,-5.713,0.0321,128.009,4
9,What Can I Do If the Fire Goes Out?,Go Farther In Lightness,Gang of Youths,18/08/2017,2017,295506,51,0.000317,0.396,0.992,0.148,0.0597,0.0975,-3.504,0.159,99.905,4
10,SWEET,SATURATION II,BROCKHAMPTON,25/08/2017,2017,274274,64,0.543,0.718,0.628,0,0.116,0.722,-6.007,0.223,92.107,4
11,Fake Magic,Fake Magic,Peking Duk,1/06/2017,2017,167058,53,0.0408,0.726,0.862,0.2,0.63,0.701,-2.984,0.104,101.982,4
12,Young Dumb & Broke,American Teen,Khalid,27/04/2017,2017,202546,79,0.199,0.798,0.539,1.66E-05,0.165,0.394,-6.351,0.0421,136.949,4
13,Homemade Dynamite,Melodrama,Lorde,16/06/2017,2017,189796,0,0.252,0.762,0.437,2.86E-06,0.0901,0.217,-5.581,0.0568,106.965,4
14,Regular Touch,Perennial,Vera Blue,21/07/2017,2017,208146,0,0.181,0.617,0.555,5.68E-06,0.111,0.462,-7.802,0.132,93.833,4
15,Feel the Way I Do,Quiet Ferocity,The Jungle Giants,7/07/2017,2017,205146,58,0.0231,0.803,0.636,0.00505,0.0791,0.817,-4.64,0.0322,122.966,4
16,Marryuna,Marryuna,Baker Boy,6/10/2017,2017,194243,39,0.0113,0.751,0.898,0,0.934,0.627,-6.238,0.0936,113.933,4
17,Exactly How You Are,Exactly How You Are,Ball Park Music,15/09/2017,2017,216825,0,0.0225,0.432,0.809,0.00109,0.35,0.612,-5.678,0.0551,141.375,4
18,The Man,Wonderful Wonderful,The Killers,22/09/2017,2017,250093,0,0.0725,0.614,0.944,2.52E-06,0.0708,0.546,-2.545,0.104,106.014,4
19,Let You Down,Let You Down,Peking Duk,13/10/2017,2017,218853,47,0.0387,0.557,0.883,1.61E-05,0.107,0.588,-5.069,0.0656,99.963,4
20,Birthdays,More Scared Of You Than You Are Of Me,The Smith Street Band,7/04/2017,2017,213466,37,0.118,0.488,0.867,0,0.117,0.372,-3.34,0.061,108.124,4
21,Lemon to a Knife Fight,Lemon to a Knife Fight,The Wombats,8/11/2017,2017,205821,31,0.000725,0.556,0.846,0,0.0942,0.722,-3.578,0.044,150.002,4
22,Not Worth Hiding,Not Worth Hiding,Alex the Astronaut,22/08/2017,2017,166913,35,0.0245,0.566,0.65,0.00173,0.158,0.851,-6.782,0.0425,121.407,4
23,rockstar,rockstar,Post Malone,15/09/2017,2017,218320,1,0.13,0.577,0.522,9.03E-05,0.142,0.119,-6.594,0.0984,159.772,4
24,Weekends,Weekends,Amy Shark,17/03/2017,2017,190640,48,0.0423,0.28,0.772,4.58E-05,0.0725,0.356,-5.509,0.141,153.034,3
25,Feel It Still,Feel It Still,Portugal. The Man,2/03/2017,2017,163250,61,0.0406,0.78,0.798,6.31E-05,0.0733,0.771,-5.151,0.0613,78.969,4
26,Be About You,Sponge Cake,Winston Surfshirt,29/09/2017,2017,248590,55,0.383,0.763,0.419,0.00169,0.0732,0.335,-9.916,0.0529,92.044,4
27,Mystik,Mystik,Tash Sultana,6/10/2017,2017,249296,54,0.0223,0.548,0.699,0.000392,0.0903,0.308,-7.149,0.0517,132.798,4
28,Mended,Perennial,Vera Blue,21/07/2017,2017,305120,0,0.208,0.379,0.537,0.00658,0.0641,0.0762,-6.706,0.0405,78.034,4
29,Low Blows,Low Blows,Meg Mac,14/07/2017,2017,212786,43,0.149,0.707,0.706,6.01E-05,0.113,0.469,-5.984,0.0418,97.997,4
30,Lay Down,Visions,Touch Sensitive,15/09/2017,2017,254694,0,0.00343,0.453,0.761,0,0.38,0.346,-6.179,0.114,109.797,4
31,NUMB,NUMB,Hayden James,6/10/2017,2017,217296,0,0.194,0.623,0.562,0,0.091,0.411,-7.08,0.0415,147.906,4
32,Slow Mover,Slow Mover,Angie McMahon,9/10/2017,2017,190093,50,0.391,0.544,0.478,0,0.0824,0.422,-7.099,0.0446,94.935,4
33,DNA.,DAMN.,Kendrick Lamar,14/04/2017,2017,185946,0,0.00402,0.636,0.517,0,0.0874,0.394,-6.759,0.36,139.928,4
34,Passionfruit,More Life,Drake,18/03/2017,2017,298940,1,0.256,0.809,0.463,0.085,0.109,0.364,-11.377,0.0396,111.98,4
35,I Haven’t Been Taking Care Of Myself,I Love You Like A Brother,Alex Lahey,6/10/2017,2017,226649,38,0.000846,0.541,0.884,1.47E-05,0.109,0.486,-4.39,0.0387,95.031,4
36,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,30/06/2017,2017,230813,66,0.498,0.736,0.795,1.21E-06,0.254,0.511,-3.299,0.0545,104.066,4
37,bellyache,Bellyache,Billie Eilish,24/02/2017,2017,179172,0,0.468,0.694,0.579,0.0337,0.58,0.41,-8.608,0.0947,99.953,4
38,Got On My Skateboard,Holiday Food,Skegss,7/04/2017,2017,227414,46,0.141,0.498,0.962,0.000425,0.0948,0.673,-3.33,0.0731,78.681,4
39,True Lovers,Paint,Holy Holy,24/02/2017,2017,259964,58,0.433,0.427,0.749,0.0534,0.0903,0.378,-5.092,0.0467,139.031,4
40,Cola,Cola,CamelPhat,16/06/2017,2017,223869,67,0.0245,0.706,0.74,0.512,0.135,0.444,-7.904,0.0325,122.007,3
41,Murder to the Mind,Murder to the Mind,Tash Sultana,21/04/2017,2017,258003,42,0.0916,0.568,0.694,0.00233,0.145,0.577,-5.657,0.0828,86.968,4
42,In Motion (feat. Japanese Wallpaper),In Motion (feat. Japanese Wallpaper),Allday,17/03/2017,2017,223053,0,0.632,0.659,0.435,0.0694,0.0882,0.251,-9.788,0.0571,107.988,4
43,Every Day’s The Weekend,I Love You Like A Brother,Alex Lahey,6/10/2017,2017,190674,42,0.00391,0.464,0.939,0.0038,0.261,0.86,-4.189,0.0436,182.106,4
44,Better,Better,Mallrat,13/10/2017,2017,193923,0,0.115,0.555,0.697,0,0.0963,0.168,-5.488,0.0263,103.934,4
45,Want You Back,Something To Tell You,HAIM,7/07/2017,2017,232120,51,0.121,0.635,0.853,0,0.371,0.372,-3.926,0.048,112.964,4
46,The Comedown,The Comedown,Ocean Alley,11/08/2017,2017,285692,50,0.021,0.721,0.448,0.000614,0.094,0.549,-8.368,0.0417,125.894,4
47,Passiona,More Scared Of You Than You Are Of Me,The Smith Street Band,7/04/2017,2017,225173,41,0.293,0.358,0.767,0,0.103,0.549,-4.261,0.0578,110.49,4
48,On Your Way Down,On Your Way Down,The Jungle Giants,12/05/2017,2017,225000,39,0.00307,0.721,0.782,0.0256,0.0628,0.62,-5.257,0.0423,148.988,4
49,Man's Not Hot,Man's Not Hot,Big Shaq,22/09/2017,2017,186026,1,0.11,0.895,0.885,4.04E-05,0.106,0.633,-4.182,0.268,134.973,4
50,Glorious (feat. Skylar Grey),GEMINI,Macklemore,22/09/2017,2017,220454,75,0.0323,0.731,0.794,2.59E-05,0.112,0.356,-5.126,0.0522,139.994,4
51,Moments (feat. Gavin James),Off The Grid,Bliss n Eso,28/04/2017,2017,237613,0,0.387,0.632,0.724,0,0.0991,0.311,-7.183,0.326,82.227,4
52,Homely Feeling,Homely Feeling,Hockey Dad,20/10/2017,2017,140642,0,0.000354,0.46,0.758,0,0.0818,0.545,-5.426,0.0571,137.805,4
53,6 Pack,The Kids Will Know It's Bullshit,Dune Rats,20/01/2017,2017,176158,41,0.00198,0.609,0.903,1.73E-06,0.601,0.825,-4.667,0.05,131.905,4
54,Watch Me Read You,Watch Me Read You,Odette,17/08/2017,2017,269332,0,0.624,0.903,0.603,4.48E-06,0.288,0.315,-5.846,0.19,122.045,4
55,Bad Dream,Quiet Ferocity,The Jungle Giants,7/07/2017,2017,271840,51,0.00177,0.686,0.579,0.301,0.066,0.319,-6.104,0.0317,135.006,4
56,The Opener,The Opener,Camp Cope,16/11/2017,2017,220174,22,0.297,0.567,0.757,0,0.1,0.759,-5.998,0.0375,97.183,4
57,Used to Be in Love,Quiet Ferocity,The Jungle Giants,7/07/2017,2017,222786,61,0.0022,0.83,0.631,0.0359,0.0539,0.877,-5.238,0.0313,128.013,4
58,Boys,Boys,Charli XCX,26/07/2017,2017,162585,64,0.0646,0.867,0.545,0.000289,0.0505,0.525,-5.192,0.0625,139.943,4
59,21 Grams,Everyone We Know,Thundamentals,10/02/2017,2017,241466,0,0.267,0.612,0.847,0,0.225,0.48,-3.225,0.0971,145.917,4
60,Saved,American Teen,Khalid,27/04/2017,2017,206533,70,0.189,0.739,0.448,0,0.118,0.553,-10.28,0.138,81.044,4
61,Life Goes On,Life Goes On,E^ST,29/09/2017,2017,210455,51,0.653,0.701,0.605,0,0.0753,0.505,-6.024,0.0297,106.968,4
62,Fool's Gold,Fool's Gold,Jack River,22/06/2017,2017,257134,0,0.0158,0.438,0.661,0,0.103,0.355,-6.412,0.0319,79.874,4
63,Everything Now,Everything Now,Arcade Fire,28/07/2017,2017,303013,62,0.00171,0.548,0.865,0.000449,0.457,0.61,-5.325,0.0302,116.046,4
64,Lemon,NO ONE EVER REALLY DIES,N.E.R.D,15/12/2017,2017,219706,62,0.00214,0.916,0.727,0.000145,0.118,0.201,-6.556,0.0861,94.997,4
65,Shred For Summer,Shred For Summer,DZ Deathrays,3/08/2017,2017,239521,0,0.000129,0.457,0.912,7.48E-06,0.292,0.229,-4.695,0.0534,107.06,4
66,Golden,"After Hours, Close To Dawn",Kingswood,17/02/2017,2017,202000,47,0.529,0.735,0.494,0.00374,0.159,0.436,-8.657,0.0427,80.003,3
67,"I Love You, Will You Marry Me",YUNGBLUD,YUNGBLUD,19/01/2018,2017,177600,0,3.98E-05,0.519,0.907,0,0.089,0.564,-4.773,0.0605,149.956,4
68,Amsterdam,Broken Machine (Deluxe),Nothing But Thieves,8/09/2017,2017,272240,64,0.00403,0.511,0.934,3.48E-05,0.242,0.668,-4.561,0.242,168.062,4
69,Perfect Places,Melodrama,Lorde,16/06/2017,2017,221874,0,0.00289,0.621,0.574,3.04E-05,0.128,0.537,-5.325,0.0555,104.344,4
70,In Cold Blood,RELAXER,alt-J,2/06/2017,2017,206853,0,0.145,0.497,0.712,0.000426,0.264,0.605,-6.536,0.0374,143.442,4
71,Nuclear Fusion,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,24/02/2017,2017,255453,0,0.337,0.427,0.783,0.811,0.162,0.608,-6.256,0.0391,86.633,4
72,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,25/08/2017,2017,182706,82,0.00264,0.732,0.75,0,0.109,0.401,-6.366,0.231,155.096,4
73,Braindead,The Kids Will Know It's Bullshit,Dune Rats,20/01/2017,2017,182340,35,1.23E-05,0.436,0.953,0.446,0.112,0.52,-5.406,0.06,134.86,4
74,Cloud 9,Cloud 9,Baker Boy,27/04/2017,2017,194707,35,0.111,0.857,0.683,0,0.205,0.365,-6.789,0.382,109.832,4
75,Million Man,Million Man,The Rubens,27/10/2017,2017,192106,0,0.203,0.472,0.544,0,0.0986,0.312,-5.611,0.0997,98.873,4
76,Electric Feel - triple j Like A Version,Electric Feel (triple j Like A Version),Tash Sultana,15/12/2017,2017,514893,45,0.857,0.495,0.459,0.283,0.108,0.244,-8.585,0.045,127.64,4
77,"Hey, Did I Do You Wrong?",The Water,San Cisco,5/05/2017,2017,184333,38,0.475,0.692,0.753,0,0.334,0.889,-7.278,0.0315,105.037,4
78,Say Something Loving,I See You,The xx,13/01/2017,2017,238373,27,0.296,0.627,0.721,6.41E-05,0.231,0.383,-7.782,0.0304,130.08,4
79,Liability,Melodrama,Lorde,16/06/2017,2017,171727,0,0.923,0.534,0.218,0,0.0944,0.345,-11.16,0.111,76.715,4
80,1-800-273-8255,Everybody,Logic,5/05/2017,2017,250173,1,0.568,0.627,0.572,1.52E-06,0.198,0.361,-7.738,0.0373,100.041,4
81,Blood Brothers,Night Thinker - EP,Amy Shark,21/04/2017,2017,225865,39,0.0251,0.645,0.733,0,0.455,0.271,-6.28,0.209,91.02,4
82,Oceans,Oceans,Vallis Alps,1/09/2017,2017,199948,47,0.153,0.752,0.645,0.0154,0.229,0.425,-8.594,0.0307,119.973,4
83,Does This Last,Does This Last,Boo Seeka,23/02/2017,2017,212741,44,0.411,0.447,0.637,4.84E-06,0.118,0.155,-7.074,0.0349,140.978,3
84,Maybe It’s My First Time,Low Blows,Meg Mac,14/07/2017,2017,213240,38,0.339,0.704,0.645,0,0.162,0.606,-6.515,0.0334,90.975,4
85,The Way You Used to Do,Villains,Queens of the Stone Age,25/08/2017,2017,274281,34,0.0102,0.474,0.843,0.104,0.362,0.433,-5.909,0.272,97.691,4
86,Dawning,Dawning,DMA'S,4/10/2017,2017,189005,0,5.49E-05,0.302,0.858,0,0.383,0.503,-1.808,0.0388,140.131,4
87,Hyperreal,Hyperreal,Flume,5/05/2017,2017,254062,0,0.0354,0.65,0.842,0.0619,0.155,0.535,-5.211,0.309,109.868,4
88,Big For Your Boots,Gang Signs & Prayer,Stormzy,24/02/2017,2017,238418,59,0.0313,0.515,0.902,0,0.093,0.628,-4.729,0.383,174.589,5
89,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,14/04/2017,2017,213400,0,0.289,0.801,0.58,0,0.153,0.777,-7.311,0.1,126.062,4
90,Do What You Want,Do What You Want,The Presets,1/11/2017,2017,181133,0,0.00123,0.666,0.839,0.0021,0.145,0.845,-5.493,0.0827,144.965,4
91,Second Hand Car,Weight_Falls,Kim Churchill,18/08/2017,2017,221493,45,0.0651,0.649,0.81,2.32E-06,0.0847,0.634,-5.574,0.0486,103.157,4
92,Mask Off,FUTURE,Future,30/06/2017,2017,204600,79,0.0102,0.833,0.434,0.0219,0.165,0.281,-8.795,0.431,150.062,4
93,Chasin',BATS,Cub Sport,22/09/2017,2017,191160,46,0.201,0.471,0.667,2.26E-06,0.0869,0.319,-6.395,0.0435,94.025,4
94,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,14/04/2017,2017,227360,0,0.021,0.681,0.523,0,0.178,0.473,-8.963,0.0542,110.812,4
95,Snow,Snow,Angus & Julia Stone,15/09/2017,2017,252160,45,0.16,0.741,0.571,0.0076,0.113,0.813,-7.541,0.0289,105.732,4
96,Arty Boy,Arty Boy,Flight Facilities,21/06/2017,2017,232188,0,0.305,0.855,0.523,0,0.0675,0.628,-4.559,0.0374,117.025,4
97,Don't Leave,Don't Leave,Snakehips,6/01/2017,2017,214693,64,0.222,0.657,0.703,0,0.256,0.338,-3.402,0.0753,122.381,4
0,Sundress,Sundress,A$AP Rocky,20/11/2018,2018,158205,76,0.181,0.721,0.707,3.68E-06,0.143,0.743,-6.364,0.0595,125.005,4
1,Everybody But You,I Love Songs,Thundamentals,21/09/2018,2018,214359,50,0.299,0.585,0.56,0,0.154,0.586,-7.992,0.175,167.903,4
2,You Can Count On Me,You Can Count On Me,Trophy Eyes,30/05/2018,2018,191626,0,0.0362,0.536,0.881,0,0.363,0.542,-2.733,0.047,160.002,4
3,Ivy (Doomsday),Misery,The Amity Affliction,24/08/2018,2018,214493,52,0.00958,0.5,0.833,0,0.167,0.451,-5.545,0.0404,145.955,4
4,Four Out Of Five,Tranquility Base Hotel & Casino,Arctic Monkeys,10/05/2018,2018,312346,39,0.0626,0.601,0.863,0,0.0717,0.676,-4.31,0.0685,130.189,4
5,Take It To The Heart,To A Stranger,Odette,6/07/2018,2018,215413,0,0.103,0.86,0.758,7.00E-06,0.187,0.67,-4.439,0.0597,110.022,4
6,Do I Need You Now?,For Now,DMA'S,27/04/2018,2018,283846,0,0.000544,0.411,0.784,0,0.189,0.623,-6.617,0.0623,81.023,4
7,Ghost Town,ye,Kanye West,1/06/2018,2018,271386,74,0.0969,0.573,0.545,0,0.329,0.297,-4.247,0.0288,83.378,4
8,Polygraph Eyes,21st Century Liability,YUNGBLUD,6/07/2018,2018,223948,56,0.0431,0.5,0.754,0,0.492,0.52,-4.619,0.0437,92.003,4
9,Happy Sad,Chiaroscuro,Ocean Alley,9/03/2018,2018,330594,51,0.00134,0.477,0.737,0.00613,0.104,0.301,-9.262,0.0495,124.023,4
10,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,27/04/2018,2018,221440,78,0.546,0.75,0.56,0,0.111,0.459,-8.094,0.105,140.06,4
11,Dazed & Confused,Dazed & Confused,Ruel,27/04/2018,2018,189608,69,0.102,0.688,0.5,0,0.355,0.418,-7.411,0.138,127.906,3
12,Labrador,Labrador,WAAX,27/04/2018,2018,221402,0,0.000632,0.498,0.791,2.81E-05,0.315,0.468,-3.759,0.0963,120.039,4
13,Younger,Younger,Ruel,5/06/2018,2018,222320,66,0.202,0.745,0.477,0,0.12,0.454,-7.706,0.088,136.055,4
14,Dirt Cheap,Dirt Cheap,Lime Cordiale,2/11/2018,2018,175126,49,0.747,0.687,0.796,0.00159,0.283,0.737,-7.699,0.133,136.012,4
15,Bubblin,Bubblin,Anderson .Paak,17/05/2018,2018,209093,60,0.0731,0.568,0.873,0,0.367,0.547,-5.22,0.265,106.783,5
16,Cigarettes,Flow State,Tash Sultana,31/08/2018,2018,322715,55,0.032,0.557,0.753,6.86E-05,0.0598,0.562,-5.052,0.233,158.023,4
17,1999 WILDFIRE,1999 WILDFIRE,BROCKHAMPTON,7/07/2018,2018,251250,64,0.253,0.811,0.57,0,0.148,0.814,-8.093,0.129,128.066,4
18,Hunger,Hunger,Florence + The Machine,3/05/2018,2018,214666,49,0.53,0.729,0.675,0,0.0985,0.332,-5.62,0.0415,116.016,4
19,Ballroom,Sugar Mountain,Jack River,22/06/2018,2018,195829,0,0.155,0.514,0.721,0,0.0833,0.137,-4.982,0.0356,122.898,4
20,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,30/11/2018,2018,217466,74,0.00987,0.601,0.794,1.36E-06,0.388,0.244,-5.844,0.0671,114.066,4
21,Clumsy Love,Clumsy Love,Thelma Plum,13/07/2018,2018,187640,48,0.467,0.689,0.728,0,0.116,0.56,-5.528,0.0379,84.998,4
22,Better Together,Better Together,Hayden James,2/11/2018,2018,236866,0,0.109,0.759,0.812,0.0117,0.327,0.753,-6.972,0.0542,116.009,4
23,Miracle,Love Is Dead,CHVRCHES,25/05/2018,2018,188251,0,0.015,0.577,0.751,0,0.189,0.44,-4.204,0.0314,124.004,4
24,Clarity,Clarity,Polish Club,5/10/2018,2018,246706,0,0.00379,0.595,0.92,0.0279,0.37,0.232,-3.638,0.0523,113.98,4
25,Molotov,Molotov,Kira Puru,7/06/2018,2018,208110,41,0.0186,0.686,0.754,2.59E-05,0.085,0.507,-5.707,0.0352,91.966,4
26,Pussy Is God,Pussy Is God,King Princess,2/11/2018,2018,205533,60,0.049,0.739,0.621,0.00369,0.0718,0.462,-6.929,0.238,85.969,4
27,Sweet Release,Blend Inn,Hockey Dad,9/02/2018,2018,207430,0,6.75E-06,0.26,0.867,0.000665,0.0575,0.662,-6.163,0.0452,141.589,4
28,Smogged Out,My Own Mess,Skegss,7/09/2018,2018,174155,43,0.00149,0.569,0.848,0,0.267,0.836,-6.179,0.0287,127.819,4
29,UFO,UFO,Mallrat,9/02/2018,2018,187078,0,0.0297,0.682,0.72,0,0.118,0.448,-6.514,0.0359,129.99,4
30,Cheetah Tongue,Beautiful People Will Ruin Your Life,The Wombats,9/02/2018,2018,219481,42,0.043,0.525,0.968,0.000463,0.133,0.591,-3.075,0.0553,95.006,4
31,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,benny blanco,7/12/2018,2018,170769,72,0.549,0.632,0.686,0,0.2,0.329,-7.665,0.243,89.949,4
32,Tints (feat. Kendrick Lamar),Oxnard,Anderson .Paak,16/11/2018,2018,268400,61,0.0859,0.805,0.833,0,0.0578,0.703,-6.73,0.12,109.076,4
33,Need You,Need You,Flight Facilities,28/02/2018,2018,200525,2,0.224,0.759,0.739,0.0124,0.0966,0.444,-6.501,0.0337,117.982,4
34,Scream Whole,Scream Whole,Methyl Ethel,27/09/2018,2018,252424,32,0.231,0.794,0.71,0.00131,0.0735,0.519,-7.24,0.0614,126.027,4
35,Mistake,Lost Friends,Middle Kids,4/05/2018,2018,212613,40,0.0331,0.515,0.896,2.81E-06,0.0601,0.503,-2.825,0.0511,134.977,4
36,BOOGIE,BOOGIE,BROCKHAMPTON,12/12/2017,2017,193154,34,0.0137,0.604,0.933,0,0.37,0.28,-3.034,0.214,110.029,4
37,Killing My Time,Killing My Time,G Flip,16/05/2018,2018,217148,0,0.442,0.838,0.609,1.99E-06,0.0742,0.609,-5.865,0.0446,102.988,4
38,I Wanna Be Everybody,Blend Inn,Hockey Dad,9/02/2018,2018,218858,0,8.09E-05,0.492,0.863,2.53E-06,0.0892,0.753,-6.468,0.0411,110.393,4
39,The End,For Now,DMA'S,27/04/2018,2018,264595,0,0.00543,0.35,0.855,0,0.35,0.327,-6.307,0.0585,103.013,4
