Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
Omen - Radio Edit,Omen (Radio Edit),Disclosure,27/07/2015,196817,64,0.115,0.671,0.786,0,0.363,0.621,-4.857,0.14,106.057,4
Walk the Wire,Limit of Love,Boy & Bear,9/10/2015,179120,34,0.00136,0.535,0.895,0.000449,0.101,0.703,-4.985,0.042,139.477,4
L$D,AT.LONG.LAST.A$AP,A$AP Rocky,26/05/2015,238306,75,0.194,0.598,0.252,0.133,0.0992,0.0352,-15.086,0.0644,120.064,4
Give Me a Try,Glitterbug (Deluxe Edition),The Wombats,14/04/2015,228470,44,0.000815,0.623,0.922,0,0.069,0.681,-3.013,0.0534,135.976,4
What Kind Of Man,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,1/06/2015,216176,51,0.0229,0.313,0.635,0,0.129,0.224,-4.676,0.0431,114.776,4
Anchor,Anchor EP,Birds Of Tokyo,24/04/2015,216096,10,0.0883,0.597,0.716,0,0.14,0.554,-4.771,0.0275,87.979,4
Wolves,Wolves,The Cat Empire,9/10/2015,202840,24,0.125,0.659,0.9,0.127,0.347,0.856,-5.461,0.0426,121.244,4
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,A$AP Rocky,26/05/2015,260986,73,0.00996,0.394,0.661,0,0.343,0.335,-8.684,0.192,149.818,4
Happy Song,That's The Spirit,Bring Me The Horizon,11/09/2015,239386,66,4.02E-05,0.295,0.924,0.00462,0.377,0.219,-3.407,0.0678,171.941,4
begin again,another eternity,Purity Ring,2/03/2015,217201,23,0.0108,0.598,0.565,0.0471,0.307,0.328,-7.764,0.0471,92.126,4
Party Machine,Party Machine,The Bennies,6/11/2015,164948,19,0.00713,0.589,0.889,7.92E-05,0.672,0.619,-4.446,0.0545,164.963,4
High By The Beach,Honeymoon,Lana Del Rey,18/09/2015,257573,66,0.244,0.536,0.486,0.00788,0.12,0.0968,-11.067,0.0346,131.988,4
Gemini (feat. George Maple),Gemini (feat. George Maple),What So Not,3/04/2015,270257,53,0.238,0.481,0.687,0.11,0.107,0.188,-6.748,0.0699,145.971,4
Be Your Shadow,Glitterbug (Deluxe Edition),The Wombats,14/04/2015,215693,37,0.0251,0.636,0.965,1.12E-06,0.146,0.551,-2.897,0.064,125.043,4
No One (feat. Thelma Plum),XXIV,Golden Features,19/06/2015,295056,46,0.18,0.766,0.549,0.069,0.209,0.255,-10.578,0.0778,119.943,4
Indian Summer,Indian Summer,Jai Wolf,9/06/2015,248470,58,0.0246,0.507,0.824,0.0451,0.0848,0.0394,-2.501,0.0526,84.992,4
Ghost,BADLANDS (Deluxe),Halsey,28/08/2015,153656,61,0.0529,0.57,0.606,0.000727,0.134,0.212,-8.085,0.129,95.038,4
Rumour Mill (feat. Anne-Marie & Will Heard),We the Generation,Rudimental,2/10/2015,243783,50,0.147,0.842,0.534,7.77E-05,0.261,0.761,-8.547,0.171,119.976,4
Twilight Driving,Oh Inhuman Spectacle,Methyl Ethel,5/06/2015,239356,51,0.123,0.599,0.744,0.0128,0.365,0.585,-6.502,0.0298,124.034,4
True Friends,That's The Spirit,Bring Me The Horizon,11/09/2015,232320,66,0.000683,0.419,0.938,0,0.114,0.333,-3.12,0.0837,160.151,4
1955,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,19/02/2016,239280,63,0.719,0.766,0.5,5.91E-06,0.304,0.71,-7.558,0.0695,84.044,4
Papercuts (feat. Vera Blue),Papercuts (feat. Vera Blue),Illy,8/07/2016,255889,52,0.161,0.369,0.618,0,0.257,0.467,-6.304,0.249,191.863,4
Stranger (feat. Elliphant),Stranger (feat. Elliphant),Peking Duk,21/10/2016,206393,55,0.045,0.528,0.874,0,0.0888,0.376,-3.028,0.0456,105.042,4
Starboy,Starboy,The Weeknd,25/11/2016,230453,1,0.165,0.681,0.594,3.49E-06,0.134,0.535,-7.028,0.282,186.054,4
Genghis Khan,Genghis Khan,Miike Snow,3/12/2015,212139,41,0.0388,0.699,0.837,2.24E-06,0.581,0.414,-3.264,0.0437,94.005,4
Jan-26,Jan-26,A.B. Original,19/08/2016,200816,30,0.0658,0.835,0.63,0,0.264,0.608,-4.221,0.205,98.034,4
All Night (feat. Knox Fortune),Coloring Book,Chance the Rapper,27/05/2016,141542,65,0.0358,0.704,0.777,0,0.151,0.392,-5.729,0.195,111.921,4
Catch 22 (feat. Anne-Marie),Catch 22 (feat. Anne-Marie),Illy,10/10/2016,221417,42,0.0981,0.765,0.561,0,0.141,0.584,-7.464,0.0987,97.447,4
Because I Love You,Because I Love You,Montaigne,3/06/2016,217626,35,0.115,0.764,0.834,0,0.0364,0.964,-3.45,0.0331,118.006,4
Make Them Wheels Roll,Make Them Wheels Roll,SAFIA,4/03/2016,245666,39,0.378,0.729,0.66,0.167,0.118,0.458,-5.53,0.0356,95.029,4
Our Town,Our Town,Sticky Fingers,15/07/2016,195414,11,0.00108,0.545,0.813,0.000193,0.121,0.628,-5.394,0.0244,90.012,4
Innerbloom (What So Not Remix),Innerbloom (What So Not Remix),RÜFÜS DU SOL,18/03/2016,277199,55,0.138,0.417,0.71,5.76E-05,0.152,0.101,-6.628,0.0987,138.369,4
One Dance,Views,Drake,6/05/2016,173986,2,0.00784,0.791,0.619,0.00423,0.351,0.371,-5.886,0.0532,103.989,4
Bullshit,Bullshit,Dune Rats,6/05/2016,180581,29,9.19E-05,0.499,0.967,0,0.352,0.419,-6.476,0.105,139.002,4
World Of Our Love,World Of Our Love,Client Liaison,2/11/2016,270627,44,0.0706,0.851,0.89,0.000623,0.128,0.579,-6.156,0.0489,116.99,4
Surfin',Surfin',Kid Cudi,30/09/2016,238386,57,0.11,0.809,0.685,0.00363,0.183,0.827,-7.916,0.045,130.008,4
I Feel It Coming,Starboy,The Weeknd,25/11/2016,269186,1,0.429,0.769,0.813,0,0.0952,0.567,-5.9,0.143,92.985,4
Final Song,Final Song,MØ,13/05/2016,235826,67,0.014,0.695,0.672,8.44E-05,0.0756,0.245,-6.109,0.0345,104.988,4
Dang! (feat. Anderson .Paak),The Divine Feminine,Mac Miller,16/09/2016,305350,72,0.00826,0.836,0.67,0.000355,0.0837,0.556,-6.907,0.23,107.018,4
Higher,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,19/02/2016,269720,53,0.281,0.737,0.669,0.0151,0.11,0.621,-9.127,0.0483,111.99,4
Strange Diseases,Strange Diseases,Gang of Youths,16/05/2016,199586,20,0.00296,0.521,0.769,0.000871,0.508,0.417,-6.143,0.0378,120.959,4
Outcast at Last,Outcast at Last,Sticky Fingers,31/03/2016,154149,31,5.93E-05,0.441,0.905,0.0215,0.223,0.752,-3.666,0.0743,183.981,4
Girlie Bits,Girlie Bits,Ali Barter,30/08/2016,191780,3,0.00297,0.457,0.767,0.0146,0.126,0.453,-5.644,0.0356,153.084,4
Solo,Blonde,Frank Ocean,20/08/2016,257380,68,0.849,0.444,0.287,2.82E-06,0.161,0.246,-10.631,0.0375,124.027,4
All Fucked Up,This Could Be Heartbreak,The Amity Affliction,12/08/2016,229760,55,0.0338,0.511,0.876,0,0.645,0.291,-4.287,0.0337,142.056,4
I Bring the Weather with Me,I Bring the Weather with Me,The Amity Affliction,19/05/2016,276413,27,0.0153,0.283,0.973,0,0.356,0.0962,-3.359,0.288,173.848,4
Next To You (feat. Savoi),Next To You (feat. Savoi),L D R U,22/04/2016,176117,34,0.0013,0.443,0.882,0,0.13,0.43,-4.623,0.068,170.123,4
Wolfie (feat. Julia Stone),Wolfie / Funeral,Golden Features,29/11/2016,203636,48,0.0642,0.599,0.585,0.000207,0.0743,0.214,-7.284,0.0725,119.985,4
Lost (Season One),Lost (Season One),Camp Cope,22/01/2016,232143,18,0.00963,0.302,0.859,0.043,0.105,0.684,-3.066,0.0453,155.676,4
Because I'm Me,Wildflower,The Avalanches,8/07/2016,252800,23,0.0491,0.472,0.805,0.0162,0.337,0.512,-5.793,0.086,94.922,4
This Could Be Heartbreak,This Could Be Heartbreak,The Amity Affliction,11/07/2016,233760,22,0.101,0.568,0.99,0,0.356,0.545,-2.906,0.0826,131.991,4
Burn the Witch,Burn the Witch,Radiohead,3/05/2016,220609,14,0.303,0.541,0.847,0.271,0.109,0.62,-6.52,0.0297,148.937,4
Panda,Panda,Desiigner,26/02/2016,247866,1,0.0241,0.679,0.734,1.65E-06,0.369,0.245,-5.542,0.444,145.028,4
Gemini Feed,Gemini Feed,BANKS,2/08/2016,186333,33,0.203,0.768,0.654,0.000235,0.168,0.543,-6.223,0.0762,102.01,4
Simulation,Tkay,Tkay Maidza,28/10/2016,205826,18,0.0708,0.776,0.89,0.000268,0.308,0.916,-4.395,0.049,104.99,4
Pink + White,Blonde,Frank Ocean,20/08/2016,184516,78,0.67,0.544,0.552,4.57E-05,0.415,0.554,-7.45,0.0991,159.738,3
My Love Is Gone,My Love Is Gone,SAFIA,2/09/2016,257353,25,0.0212,0.731,0.778,0.000169,0.473,0.761,-5.803,0.0473,125.03,4
Anything Near Conviction,Anything Near Conviction,Luca Brasi,8/03/2016,227738,17,0.000507,0.504,0.961,0.000112,0.273,0.531,-4.876,0.0645,154.161,4
Fading,Fading,Vallis Alps,17/11/2016,280055,49,0.515,0.662,0.482,0.00553,0.119,0.294,-9.786,0.0464,98.05,4
Too Good,Views,Drake,6/05/2016,263373,1,0.0573,0.804,0.648,3.49E-05,0.102,0.392,-7.805,0.117,117.983,4
HUMBLE.,DAMN.,Kendrick Lamar,14/04/2017,177000,1,0.000243,0.906,0.625,3.23E-05,0.0975,0.423,-6.779,0.0903,150.018,4
Let Me Down Easy,Go Farther In Lightness,Gang of Youths,18/08/2017,319346,61,0.22,0.672,0.899,0.302,0.142,0.927,-6.878,0.0323,139.01,4
Chateau,Snow,Angus & Julia Stone,15/09/2017,273533,60,0.637,0.661,0.589,0.863,0.111,0.603,-11.217,0.0368,129.987,4
Ubu,Ubu,Methyl Ethel,24/01/2017,302786,36,0.00598,0.683,0.722,0.0211,0.115,0.882,-8.321,0.0366,129.991,4
"The Deepest Sighs, the Frankest Shadows",Go Farther In Lightness,Gang of Youths,18/08/2017,351613,52,0.0565,0.355,0.812,0.00972,0.141,0.139,-5.861,0.0767,151.818,4
What Can I Do If the Fire Goes Out?,Go Farther In Lightness,Gang of Youths,18/08/2017,295506,51,0.000317,0.396,0.992,0.148,0.0597,0.0975,-3.504,0.159,99.905,4
SWEET,SATURATION II,BROCKHAMPTON,25/08/2017,274274,64,0.543,0.718,0.628,0,0.116,0.722,-6.007,0.223,92.107,4
Fake Magic,Fake Magic,Peking Duk,1/06/2017,167058,53,0.0408,0.726,0.862,0.2,0.63,0.701,-2.984,0.104,101.982,4
Young Dumb & Broke,American Teen,Khalid,27/04/2017,202546,79,0.199,0.798,0.539,1.66E-05,0.165,0.394,-6.351,0.0421,136.949,4
Feel the Way I Do,Quiet Ferocity,The Jungle Giants,7/07/2017,205146,58,0.0231,0.803,0.636,0.00505,0.0791,0.817,-4.64,0.0322,122.966,4
Marryuna,Marryuna,Baker Boy,6/10/2017,194243,39,0.0113,0.751,0.898,0,0.934,0.627,-6.238,0.0936,113.933,4
Let You Down,Let You Down,Peking Duk,13/10/2017,218853,47,0.0387,0.557,0.883,1.61E-05,0.107,0.588,-5.069,0.0656,99.963,4
Birthdays,More Scared Of You Than You Are Of Me,The Smith Street Band,7/04/2017,213466,37,0.118,0.488,0.867,0,0.117,0.372,-3.34,0.061,108.124,4
Lemon to a Knife Fight,Lemon to a Knife Fight,The Wombats,8/11/2017,205821,31,0.000725,0.556,0.846,0,0.0942,0.722,-3.578,0.044,150.002,4
Not Worth Hiding,Not Worth Hiding,Alex the Astronaut,22/08/2017,166913,35,0.0245,0.566,0.65,0.00173,0.158,0.851,-6.782,0.0425,121.407,4
rockstar,rockstar,Post Malone,15/09/2017,218320,1,0.13,0.577,0.522,9.03E-05,0.142,0.119,-6.594,0.0984,159.772,4
Weekends,Weekends,Amy Shark,17/03/2017,190640,48,0.0423,0.28,0.772,4.58E-05,0.0725,0.356,-5.509,0.141,153.034,3
Feel It Still,Feel It Still,Portugal. The Man,2/03/2017,163250,61,0.0406,0.78,0.798,6.31E-05,0.0733,0.771,-5.151,0.0613,78.969,4
Be About You,Sponge Cake,Winston Surfshirt,29/09/2017,248590,55,0.383,0.763,0.419,0.00169,0.0732,0.335,-9.916,0.0529,92.044,4
Mystik,Mystik,Tash Sultana,6/10/2017,249296,54,0.0223,0.548,0.699,0.000392,0.0903,0.308,-7.149,0.0517,132.798,4
Low Blows,Low Blows,Meg Mac,14/07/2017,212786,43,0.149,0.707,0.706,6.01E-05,0.113,0.469,-5.984,0.0418,97.997,4
Slow Mover,Slow Mover,Angie McMahon,9/10/2017,190093,50,0.391,0.544,0.478,0,0.0824,0.422,-7.099,0.0446,94.935,4
Passionfruit,More Life,Drake,18/03/2017,298940,1,0.256,0.809,0.463,0.085,0.109,0.364,-11.377,0.0396,111.98,4
I Haven’t Been Taking Care Of Myself,I Love You Like A Brother,Alex Lahey,6/10/2017,226649,38,0.000846,0.541,0.884,1.47E-05,0.109,0.486,-4.39,0.0387,95.031,4
Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,30/06/2017,230813,66,0.498,0.736,0.795,1.21E-06,0.254,0.511,-3.299,0.0545,104.066,4
Got On My Skateboard,Holiday Food,Skegss,7/04/2017,227414,46,0.141,0.498,0.962,0.000425,0.0948,0.673,-3.33,0.0731,78.681,4
True Lovers,Paint,Holy Holy,24/02/2017,259964,58,0.433,0.427,0.749,0.0534,0.0903,0.378,-5.092,0.0467,139.031,4
Cola,Cola,CamelPhat,16/06/2017,223869,67,0.0245,0.706,0.74,0.512,0.135,0.444,-7.904,0.0325,122.007,3
Murder to the Mind,Murder to the Mind,Tash Sultana,21/04/2017,258003,42,0.0916,0.568,0.694,0.00233,0.145,0.577,-5.657,0.0828,86.968,4
Every Day’s The Weekend,I Love You Like A Brother,Alex Lahey,6/10/2017,190674,42,0.00391,0.464,0.939,0.0038,0.261,0.86,-4.189,0.0436,182.106,4
Want You Back,Something To Tell You,HAIM,7/07/2017,232120,51,0.121,0.635,0.853,0,0.371,0.372,-3.926,0.048,112.964,4
The Comedown,The Comedown,Ocean Alley,11/08/2017,285692,50,0.021,0.721,0.448,0.000614,0.094,0.549,-8.368,0.0417,125.894,4
Passiona,More Scared Of You Than You Are Of Me,The Smith Street Band,7/04/2017,225173,41,0.293,0.358,0.767,0,0.103,0.549,-4.261,0.0578,110.49,4
On Your Way Down,On Your Way Down,The Jungle Giants,12/05/2017,225000,39,0.00307,0.721,0.782,0.0256,0.0628,0.62,-5.257,0.0423,148.988,4
Man's Not Hot,Man's Not Hot,Big Shaq,22/09/2017,186026,1,0.11,0.895,0.885,4.04E-05,0.106,0.633,-4.182,0.268,134.973,4
Glorious (feat. Skylar Grey),GEMINI,Macklemore,22/09/2017,220454,75,0.0323,0.731,0.794,2.59E-05,0.112,0.356,-5.126,0.0522,139.994,4
6 Pack,The Kids Will Know It's Bullshit,Dune Rats,20/01/2017,176158,41,0.00198,0.609,0.903,1.73E-06,0.601,0.825,-4.667,0.05,131.905,4
Bad Dream,Quiet Ferocity,The Jungle Giants,7/07/2017,271840,51,0.00177,0.686,0.579,0.301,0.066,0.319,-6.104,0.0317,135.006,4
The Opener,The Opener,Camp Cope,16/11/2017,220174,22,0.297,0.567,0.757,0,0.1,0.759,-5.998,0.0375,97.183,4
Used to Be in Love,Quiet Ferocity,The Jungle Giants,7/07/2017,222786,61,0.0022,0.83,0.631,0.0359,0.0539,0.877,-5.238,0.0313,128.013,4
Boys,Boys,Charli XCX,26/07/2017,162585,64,0.0646,0.867,0.545,0.000289,0.0505,0.525,-5.192,0.0625,139.943,4
Saved,American Teen,Khalid,27/04/2017,206533,70,0.189,0.739,0.448,0,0.118,0.553,-10.28,0.138,81.044,4
Life Goes On,Life Goes On,E^ST,29/09/2017,210455,51,0.653,0.701,0.605,0,0.0753,0.505,-6.024,0.0297,106.968,4
Everything Now,Everything Now,Arcade Fire,28/07/2017,303013,62,0.00171,0.548,0.865,0.000449,0.457,0.61,-5.325,0.0302,116.046,4
Lemon,NO ONE EVER REALLY DIES,N.E.R.D,15/12/2017,219706,62,0.00214,0.916,0.727,0.000145,0.118,0.201,-6.556,0.0861,94.997,4
Golden,"After Hours, Close To Dawn",Kingswood,17/02/2017,202000,47,0.529,0.735,0.494,0.00374,0.159,0.436,-8.657,0.0427,80.003,3
Amsterdam,Broken Machine (Deluxe),Nothing But Thieves,8/09/2017,272240,64,0.00403,0.511,0.934,3.48E-05,0.242,0.668,-4.561,0.242,168.062,4
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,25/08/2017,182706,82,0.00264,0.732,0.75,0,0.109,0.401,-6.366,0.231,155.096,4
Braindead,The Kids Will Know It's Bullshit,Dune Rats,20/01/2017,182340,35,1.23E-05,0.436,0.953,0.446,0.112,0.52,-5.406,0.06,134.86,4
Cloud 9,Cloud 9,Baker Boy,27/04/2017,194707,35,0.111,0.857,0.683,0,0.205,0.365,-6.789,0.382,109.832,4
Electric Feel - triple j Like A Version,Electric Feel (triple j Like A Version),Tash Sultana,15/12/2017,514893,45,0.857,0.495,0.459,0.283,0.108,0.244,-8.585,0.045,127.64,4
"Hey, Did I Do You Wrong?",The Water,San Cisco,5/05/2017,184333,38,0.475,0.692,0.753,0,0.334,0.889,-7.278,0.0315,105.037,4
Say Something Loving,I See You,The xx,13/01/2017,238373,27,0.296,0.627,0.721,6.41E-05,0.231,0.383,-7.782,0.0304,130.08,4
1-800-273-8255,Everybody,Logic,5/05/2017,250173,1,0.568,0.627,0.572,1.52E-06,0.198,0.361,-7.738,0.0373,100.041,4
Blood Brothers,Night Thinker - EP,Amy Shark,21/04/2017,225865,39,0.0251,0.645,0.733,0,0.455,0.271,-6.28,0.209,91.02,4
Oceans,Oceans,Vallis Alps,1/09/2017,199948,47,0.153,0.752,0.645,0.0154,0.229,0.425,-8.594,0.0307,119.973,4
Does This Last,Does This Last,Boo Seeka,23/02/2017,212741,44,0.411,0.447,0.637,4.84E-06,0.118,0.155,-7.074,0.0349,140.978,3
Maybe It’s My First Time,Low Blows,Meg Mac,14/07/2017,213240,38,0.339,0.704,0.645,0,0.162,0.606,-6.515,0.0334,90.975,4
The Way You Used to Do,Villains,Queens of the Stone Age,25/08/2017,274281,34,0.0102,0.474,0.843,0.104,0.362,0.433,-5.909,0.272,97.691,4
Big For Your Boots,Gang Signs & Prayer,Stormzy,24/02/2017,238418,59,0.0313,0.515,0.902,0,0.093,0.628,-4.729,0.383,174.589,5
Second Hand Car,Weight_Falls,Kim Churchill,18/08/2017,221493,45,0.0651,0.649,0.81,2.32E-06,0.0847,0.634,-5.574,0.0486,103.157,4
Mask Off,FUTURE,Future,30/06/2017,204600,79,0.0102,0.833,0.434,0.0219,0.165,0.281,-8.795,0.431,150.062,4
Chasin',BATS,Cub Sport,22/09/2017,191160,46,0.201,0.471,0.667,2.26E-06,0.0869,0.319,-6.395,0.0435,94.025,4
Snow,Snow,Angus & Julia Stone,15/09/2017,252160,45,0.16,0.741,0.571,0.0076,0.113,0.813,-7.541,0.0289,105.732,4
Don't Leave,Don't Leave,Snakehips,6/01/2017,214693,64,0.222,0.657,0.703,0,0.256,0.338,-3.402,0.0753,122.381,4
Sundress,Sundress,A$AP Rocky,20/11/2018,158205,76,0.181,0.721,0.707,3.68E-06,0.143,0.743,-6.364,0.0595,125.005,4
Everybody But You,I Love Songs,Thundamentals,21/09/2018,214359,50,0.299,0.585,0.56,0,0.154,0.586,-7.992,0.175,167.903,4
Ivy (Doomsday),Misery,The Amity Affliction,24/08/2018,214493,52,0.00958,0.5,0.833,0,0.167,0.451,-5.545,0.0404,145.955,4
Four Out Of Five,Tranquility Base Hotel & Casino,Arctic Monkeys,10/05/2018,312346,39,0.0626,0.601,0.863,0,0.0717,0.676,-4.31,0.0685,130.189,4
Ghost Town,ye,Kanye West,1/06/2018,271386,74,0.0969,0.573,0.545,0,0.329,0.297,-4.247,0.0288,83.378,4
Polygraph Eyes,21st Century Liability,YUNGBLUD,6/07/2018,223948,56,0.0431,0.5,0.754,0,0.492,0.52,-4.619,0.0437,92.003,4
Happy Sad,Chiaroscuro,Ocean Alley,9/03/2018,330594,51,0.00134,0.477,0.737,0.00613,0.104,0.301,-9.262,0.0495,124.023,4
Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,27/04/2018,221440,78,0.546,0.75,0.56,0,0.111,0.459,-8.094,0.105,140.06,4
Dazed & Confused,Dazed & Confused,Ruel,27/04/2018,189608,69,0.102,0.688,0.5,0,0.355,0.418,-7.411,0.138,127.906,3
Younger,Younger,Ruel,5/06/2018,222320,66,0.202,0.745,0.477,0,0.12,0.454,-7.706,0.088,136.055,4
Dirt Cheap,Dirt Cheap,Lime Cordiale,2/11/2018,175126,49,0.747,0.687,0.796,0.00159,0.283,0.737,-7.699,0.133,136.012,4
Bubblin,Bubblin,Anderson .Paak,17/05/2018,209093,60,0.0731,0.568,0.873,0,0.367,0.547,-5.22,0.265,106.783,5
Cigarettes,Flow State,Tash Sultana,31/08/2018,322715,55,0.032,0.557,0.753,6.86E-05,0.0598,0.562,-5.052,0.233,158.023,4
