Name,Artist,Popularity,Danceability,Energy,Loudness,Valence,kmeans
begin again,Purity Ring,23,0.598,0.565,-7.764,0.328,1
Party Machine,The Bennies,19,0.589,0.889,-4.446,0.619,2
High By The Beach,Lana Del Rey,66,0.536,0.486,-11.067,0.0968,0
Gemini (feat. George Maple),What So Not,53,0.481,0.687,-6.748,0.188,0
Be Your Shadow,The Wombats,37,0.636,0.965,-2.897,0.551,2
No One (feat. Thelma Plum),Golden Features,46,0.766,0.549,-10.578,0.255,0
Indian Summer,Jai Wolf,58,0.507,0.824,-2.501,0.0394,0
Ghost,Halsey,61,0.57,0.606,-8.085,0.212,0
Nobody Really Cares If You Don't Go to the Party,Courtney Barnett,0,0.421,0.93,-5.133,0.574,2
Rumour Mill (feat. Anne-Marie & Will Heard),Rudimental,50,0.842,0.534,-8.547,0.761,3
Twilight Driving,Methyl Ethel,51,0.599,0.744,-6.502,0.585,2
Be Together (feat. Wild Belle),Major Lazer,0,0.497,0.627,-6.141,0.193,0
True Friends,Bring Me The Horizon,66,0.419,0.938,-3.12,0.333,1
Hell Boy,Seth Sentry,0,0.726,0.792,-3.395,0.492,2
Never Be Like You (feat. Kai),Flume,0,0.54,0.59,-4.359,0.267,0
Adore,Amy Shark,0,0.592,0.438,-10.054,0.259,0
Jungle,Tash Sultana,0,0.592,0.701,-5.879,0.509,2
1955,Hilltop Hoods,63,0.766,0.5,-7.558,0.71,3
Redbone,Childish Gambino,0,0.743,0.372,-10.459,0.575,2
Papercuts (feat. Vera Blue),Illy,52,0.369,0.618,-6.304,0.467,1
Say It,Flume,0,0.367,0.532,-6.837,0.261,0
Stranger (feat. Elliphant),Peking Duk,55,0.528,0.874,-3.028,0.376,1
Starboy,The Weeknd,1,0.681,0.594,-7.028,0.535,2
Chameleon,PNAU,0,0.718,0.934,-3.153,0.239,0
Cocoon,Milky Chance,0,0.732,0.708,-5.978,0.749,3
Love$ick,Mura Masa,0,0.65,0.776,-5.059,0.772,3
Viceroy,Violent Soho,0,0.69,0.73,-5.54,0.574,2
Genghis Khan,Miike Snow,41,0.699,0.837,-3.264,0.414,1
Jan-26,A.B. Original,30,0.835,0.63,-4.221,0.608,2
The Opposite of Us,Big Scary,0,0.747,0.802,-5.768,0.585,2
All Night (feat. Knox Fortune),Chance the Rapper,65,0.704,0.777,-5.729,0.392,1
7,Catfish and the Bottlemen,0,0.524,0.726,-4.92,0.311,1
On Hold,The xx,0,0.725,0.669,-6.582,0.338,1
Death to the Lads,The Smith Street Band,0,0.222,0.854,-3.859,0.417,1
Ultralight Beam,Kanye West,0,0.672,0.397,-8.804,0.372,1
Catch 22 (feat. Anne-Marie),Illy,42,0.765,0.561,-7.464,0.584,2
Come on Mess Me Up,Cub Sport,0,0.345,0.593,-5.568,0.0392,0
Because I Love You,Montaigne,35,0.764,0.834,-3.45,0.964,3
Make Them Wheels Roll,SAFIA,39,0.729,0.66,-5.53,0.458,1
Drive,Gretta Ray,0,0.697,0.475,-7.763,0.356,1
Frankie Sinatra,The Avalanches,0,0.693,0.854,-5.816,0.837,3
Our Town,Sticky Fingers,11,0.545,0.813,-5.394,0.628,2
Innerbloom (What So Not Remix),RÜFÜS DU SOL,55,0.417,0.71,-6.628,0.101,0
One Dance,Drake,2,0.791,0.619,-5.886,0.371,1
Notion,Tash Sultana,0,0.352,0.414,-6.6,0.0688,0
Bullshit,Dune Rats,29,0.499,0.967,-6.476,0.419,1
Scott Green,Dune Rats,0,0.566,0.93,-5.98,0.536,2
World Of Our Love,Client Liaison,44,0.851,0.89,-6.156,0.579,2
Sad Songs,Sticky Fingers,0,0.422,0.955,-2.994,0.299,1
Smoke & Retribution (feat. Vince Staples & Kucka),Flume,0,0.743,0.574,-6.028,0.403,1
Youth,Glass Animals,0,0.648,0.733,-7.803,0.752,3
Step Up The Morphine,DMA'S,0,0.444,0.803,-3.621,0.476,2
Surfin',Kid Cudi,57,0.809,0.685,-7.916,0.827,3
I Feel It Coming,The Weeknd,1,0.769,0.813,-5.9,0.567,2
Heartlines,Broods,0,0.659,0.677,-4.129,0.273,0
Final Song,MØ,67,0.695,0.672,-6.109,0.245,0
Satan,D.D Dumbo,0,0.797,0.685,-7.775,0.682,2
Dang! (feat. Anderson .Paak),Mac Miller,72,0.836,0.67,-6.907,0.556,2
Walrus,D.D Dumbo,0,0.611,0.666,-6.777,0.854,3
Creepin,Kingswood,0,0.397,0.593,-7.369,0.393,1
Higher,Hilltop Hoods,53,0.737,0.669,-9.127,0.621,2
Strange Diseases,Gang of Youths,20,0.521,0.769,-6.143,0.417,1
Outcast at Last,Sticky Fingers,31,0.441,0.905,-3.666,0.752,3
Blanket,Violent Soho,0,0.476,0.912,-5.101,0.48,2
Bored To Death,blink-182,0,0.502,0.966,-3.876,0.638,2
Say a Prayer For Me,RÜFÜS DU SOL,0,0.821,0.675,-6.661,0.551,2
Twice,Catfish and the Bottlemen,0,0.409,0.793,-4.603,0.313,1
Girlie Bits,Ali Barter,3,0.457,0.767,-5.644,0.453,1
Solo,Frank Ocean,68,0.444,0.287,-10.631,0.246,0
Drinkee,Sofi Tukker,0,0.773,0.663,-8.101,0.324,1
Gamma Knife,King Gizzard & The Lizard Wizard,0,0.326,0.915,-5.269,0.544,2
Marinade,DOPE LEMON,0,0.677,0.74,-6.528,0.679,2
Life Itself,Glass Animals,0,0.696,0.62,-8.346,0.674,2
Alaska,Maggie Rogers,0,0.853,0.353,-12.146,0.141,0
All Fucked Up,The Amity Affliction,55,0.511,0.876,-4.287,0.291,1
I Bring the Weather with Me,The Amity Affliction,27,0.283,0.973,-3.359,0.0962,0
Next To You (feat. Savoi),L D R U,34,0.443,0.882,-4.623,0.43,1
So Sentimental,Violent Soho,0,0.567,0.846,-5.546,0.684,2
Wolfie (feat. Julia Stone),Golden Features,48,0.599,0.585,-7.284,0.214,0
Free,Broods,0,0.607,0.757,-3.536,0.446,1
Famous,Kanye West,0,0.357,0.751,-3.771,0.455,1
No Shade,Violent Soho,0,0.658,0.934,-4.861,0.623,2
Lost (Season One),Camp Cope,18,0.302,0.859,-3.066,0.684,2
Because I'm Me,The Avalanches,23,0.472,0.805,-5.793,0.512,2
This Could Be Heartbreak,The Amity Affliction,22,0.568,0.99,-2.906,0.545,2
Soundcheck,Catfish and the Bottlemen,0,0.602,0.749,-5.794,0.618,2
Settle,Vera Blue,0,0.605,0.457,-7.105,0.201,0
Burn the Witch,Radiohead,14,0.541,0.847,-6.52,0.62,2
Panda,Desiigner,1,0.679,0.734,-5.542,0.245,0
Gemini Feed,BANKS,33,0.768,0.654,-6.223,0.543,2
Think About It,Thundamentals,0,0.69,0.919,-3.593,0.269,0
Simulation,Tkay Maidza,18,0.776,0.89,-4.395,0.916,3
Pink + White,Frank Ocean,78,0.544,0.552,-7.45,0.554,2
My Love Is Gone,SAFIA,25,0.731,0.778,-5.803,0.761,3
Dopamine (feat. Thief),Bliss n Eso,0,0.557,0.754,-7.508,0.284,1
Uptown Folks,DOPE LEMON,0,0.475,0.824,-4.935,0.408,1
Me and Your Mama,Childish Gambino,0,0.555,0.454,-11.806,0.214,0
Over You,SAFIA,0,0.597,0.544,-6.711,0.607,2
Anything Near Conviction,Luca Brasi,17,0.504,0.961,-4.876,0.531,2
Subways,The Avalanches,0,0.502,0.867,-6.77,0.547,2
How To Taste,Violent Soho,0,0.493,0.91,-7.184,0.591,2
High And Low,Empire of the Sun,0,0.508,0.782,-4.667,0.286,1
Fading,Vallis Alps,49,0.662,0.482,-9.786,0.294,1
Lose It,Flume,0,0.606,0.854,-2.765,0.605,2
Hanging by a Thread (feat. Natalie Foster),Elk Road,0,0.77,0.794,-5.51,0.107,0
You Don't Think You Like People Like Me,Alex Lahey,0,0.583,0.935,-2.851,0.549,2
Season 2 Episode 3,Glass Animals,0,0.739,0.283,-7.965,0.666,2
Too Good,Drake,1,0.804,0.648,-7.805,0.392,1
Brace,Birds Of Tokyo,0,0.477,0.779,-5.107,0.133,0
Panda,Desiigner,0,0.802,0.639,-7.905,0.35,1
Starboy,The Weeknd,0,0.679,0.599,-7.081,0.511,2
Starboy,The Weeknd,0,0.679,0.599,-7.081,0.511,2
HUMBLE.,Kendrick Lamar,1,0.906,0.625,-6.779,0.423,1
Let Me Down Easy,Gang of Youths,61,0.672,0.899,-6.878,0.927,3
Chateau,Angus & Julia Stone,60,0.661,0.589,-11.217,0.603,2
Ubu,Methyl Ethel,36,0.683,0.722,-8.321,0.882,3
"The Deepest Sighs, the Frankest Shadows",Gang of Youths,52,0.355,0.812,-5.861,0.139,0
Green Light,Lorde,0,0.616,0.714,-7.792,0.24,0
Go Bang,PNAU,0,0.598,0.893,-3.072,0.485,2
Sally,Thundamentals,0,0.723,0.866,-2.989,0.59,2
Lay It On Me,Vance Joy,0,0.733,0.673,-5.713,0.487,2
What Can I Do If the Fire Goes Out?,Gang of Youths,51,0.396,0.992,-3.504,0.0975,0
SWEET,BROCKHAMPTON,64,0.718,0.628,-6.007,0.722,3
Fake Magic,Peking Duk,53,0.726,0.862,-2.984,0.701,3
Young Dumb & Broke,Khalid,79,0.798,0.539,-6.351,0.394,1
Homemade Dynamite,Lorde,0,0.762,0.437,-5.581,0.217,0
Regular Touch,Vera Blue,0,0.617,0.555,-7.802,0.462,1
Feel the Way I Do,The Jungle Giants,58,0.803,0.636,-4.64,0.817,3
Marryuna,Baker Boy,39,0.751,0.898,-6.238,0.627,2
Exactly How You Are,Ball Park Music,0,0.432,0.809,-5.678,0.612,2
The Man,The Killers,0,0.614,0.944,-2.545,0.546,2
Let You Down,Peking Duk,47,0.557,0.883,-5.069,0.588,2
Birthdays,The Smith Street Band,37,0.488,0.867,-3.34,0.372,1
Lemon to a Knife Fight,The Wombats,31,0.556,0.846,-3.578,0.722,3
Not Worth Hiding,Alex the Astronaut,35,0.566,0.65,-6.782,0.851,3
rockstar,Post Malone,1,0.577,0.522,-6.594,0.119,0
Weekends,Amy Shark,48,0.28,0.772,-5.509,0.356,1
Feel It Still,Portugal. The Man,61,0.78,0.798,-5.151,0.771,3
Be About You,Winston Surfshirt,55,0.763,0.419,-9.916,0.335,1
Mystik,Tash Sultana,54,0.548,0.699,-7.149,0.308,1
Mended,Vera Blue,0,0.379,0.537,-6.706,0.0762,0
Low Blows,Meg Mac,43,0.707,0.706,-5.984,0.469,1
Lay Down,Touch Sensitive,0,0.453,0.761,-6.179,0.346,1
NUMB,Hayden James,0,0.623,0.562,-7.08,0.411,1
Slow Mover,Angie McMahon,50,0.544,0.478,-7.099,0.422,1
DNA.,Kendrick Lamar,0,0.636,0.517,-6.759,0.394,1
Passionfruit,Drake,1,0.809,0.463,-11.377,0.364,1
I Haven’t Been Taking Care Of Myself,Alex Lahey,38,0.541,0.884,-4.39,0.486,2
Slide (feat. Frank Ocean & Migos),Calvin Harris,66,0.736,0.795,-3.299,0.511,2
bellyache,Billie Eilish,0,0.694,0.579,-8.608,0.41,1
Got On My Skateboard,Skegss,46,0.498,0.962,-3.33,0.673,2
True Lovers,Holy Holy,58,0.427,0.749,-5.092,0.378,1
Cola,CamelPhat,67,0.706,0.74,-7.904,0.444,1
Murder to the Mind,Tash Sultana,42,0.568,0.694,-5.657,0.577,2
In Motion (feat. Japanese Wallpaper),Allday,0,0.659,0.435,-9.788,0.251,0
Every Day’s The Weekend,Alex Lahey,42,0.464,0.939,-4.189,0.86,3
Better,Mallrat,0,0.555,0.697,-5.488,0.168,0
Want You Back,HAIM,51,0.635,0.853,-3.926,0.372,1
The Comedown,Ocean Alley,50,0.721,0.448,-8.368,0.549,2
Passiona,The Smith Street Band,41,0.358,0.767,-4.261,0.549,2
On Your Way Down,The Jungle Giants,39,0.721,0.782,-5.257,0.62,2
Man's Not Hot,Big Shaq,1,0.895,0.885,-4.182,0.633,2
Glorious (feat. Skylar Grey),Macklemore,75,0.731,0.794,-5.126,0.356,1
Moments (feat. Gavin James),Bliss n Eso,0,0.632,0.724,-7.183,0.311,1
Homely Feeling,Hockey Dad,0,0.46,0.758,-5.426,0.545,2
6 Pack,Dune Rats,41,0.609,0.903,-4.667,0.825,3
Watch Me Read You,Odette,0,0.903,0.603,-5.846,0.315,1
Bad Dream,The Jungle Giants,51,0.686,0.579,-6.104,0.319,1
The Opener,Camp Cope,22,0.567,0.757,-5.998,0.759,3
Used to Be in Love,The Jungle Giants,61,0.83,0.631,-5.238,0.877,3
Boys,Charli XCX,64,0.867,0.545,-5.192,0.525,2
21 Grams,Thundamentals,0,0.612,0.847,-3.225,0.48,2
Saved,Khalid,70,0.739,0.448,-10.28,0.553,2
Life Goes On,E^ST,51,0.701,0.605,-6.024,0.505,2
Fool's Gold,Jack River,0,0.438,0.661,-6.412,0.355,1
Everything Now,Arcade Fire,62,0.548,0.865,-5.325,0.61,2
Lemon,N.E.R.D,62,0.916,0.727,-6.556,0.201,0
Shred For Summer,DZ Deathrays,0,0.457,0.912,-4.695,0.229,0
Golden,Kingswood,47,0.735,0.494,-8.657,0.436,1
"I Love You, Will You Marry Me",YUNGBLUD,0,0.519,0.907,-4.773,0.564,2
Amsterdam,Nothing But Thieves,64,0.511,0.934,-4.561,0.668,2
Perfect Places,Lorde,0,0.621,0.574,-5.325,0.537,2
In Cold Blood,alt-J,0,0.497,0.712,-6.536,0.605,2
Nuclear Fusion,King Gizzard & The Lizard Wizard,0,0.427,0.783,-6.256,0.608,2
XO Tour Llif3,Lil Uzi Vert,82,0.732,0.75,-6.366,0.401,1
Braindead,Dune Rats,35,0.436,0.953,-5.406,0.52,2
Cloud 9,Baker Boy,35,0.857,0.683,-6.789,0.365,1
Million Man,The Rubens,0,0.472,0.544,-5.611,0.312,1
Electric Feel - triple j Like A Version,Tash Sultana,45,0.495,0.459,-8.585,0.244,0
"Hey, Did I Do You Wrong?",San Cisco,38,0.692,0.753,-7.278,0.889,3
Say Something Loving,The xx,27,0.627,0.721,-7.782,0.383,1
Liability,Lorde,0,0.534,0.218,-11.16,0.345,1
1-800-273-8255,Logic,1,0.627,0.572,-7.738,0.361,1
Blood Brothers,Amy Shark,39,0.645,0.733,-6.28,0.271,0
Oceans,Vallis Alps,47,0.752,0.645,-8.594,0.425,1
Does This Last,Boo Seeka,44,0.447,0.637,-7.074,0.155,0
Maybe It’s My First Time,Meg Mac,38,0.704,0.645,-6.515,0.606,2
The Way You Used to Do,Queens of the Stone Age,34,0.474,0.843,-5.909,0.433,1
Dawning,DMA'S,0,0.302,0.858,-1.808,0.503,2
Hyperreal,Flume,0,0.65,0.842,-5.211,0.535,2
Big For Your Boots,Stormzy,59,0.515,0.902,-4.729,0.628,2
LOVE. FEAT. ZACARI.,Kendrick Lamar,0,0.801,0.58,-7.311,0.777,3
Do What You Want,The Presets,0,0.666,0.839,-5.493,0.845,3
Second Hand Car,Kim Churchill,45,0.649,0.81,-5.574,0.634,2
Mask Off,Future,79,0.833,0.434,-8.795,0.281,1
Chasin',Cub Sport,46,0.471,0.667,-6.395,0.319,1
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,0,0.681,0.523,-8.963,0.473,1
Snow,Angus & Julia Stone,45,0.741,0.571,-7.541,0.813,3
Arty Boy,Flight Facilities,0,0.855,0.523,-4.559,0.628,2
Don't Leave,Snakehips,64,0.657,0.703,-3.402,0.338,1
Sundress,A$AP Rocky,76,0.721,0.707,-6.364,0.743,3
Everybody But You,Thundamentals,50,0.585,0.56,-7.992,0.586,2
You Can Count On Me,Trophy Eyes,0,0.536,0.881,-2.733,0.542,2
Ivy (Doomsday),The Amity Affliction,52,0.5,0.833,-5.545,0.451,1
Four Out Of Five,Arctic Monkeys,39,0.601,0.863,-4.31,0.676,2
Take It To The Heart,Odette,0,0.86,0.758,-4.439,0.67,2
Do I Need You Now?,DMA'S,0,0.411,0.784,-6.617,0.623,2
Ghost Town,Kanye West,74,0.573,0.545,-4.247,0.297,1
Polygraph Eyes,YUNGBLUD,56,0.5,0.754,-4.619,0.52,2
Happy Sad,Ocean Alley,51,0.477,0.737,-9.262,0.301,1
Psycho (feat. Ty Dolla $ign),Post Malone,78,0.75,0.56,-8.094,0.459,1
Dazed & Confused,Ruel,69,0.688,0.5,-7.411,0.418,1
Labrador,WAAX,0,0.498,0.791,-3.759,0.468,1
Younger,Ruel,66,0.745,0.477,-7.706,0.454,1
Dirt Cheap,Lime Cordiale,49,0.687,0.796,-7.699,0.737,3
Bubblin,Anderson .Paak,60,0.568,0.873,-5.22,0.547,2
Cigarettes,Tash Sultana,55,0.557,0.753,-5.052,0.562,2
1999 WILDFIRE,BROCKHAMPTON,64,0.811,0.57,-8.093,0.814,3
Hunger,Florence + The Machine,49,0.729,0.675,-5.62,0.332,1
Ballroom,Jack River,0,0.514,0.721,-4.982,0.137,0
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,74,0.601,0.794,-5.844,0.244,0
Clumsy Love,Thelma Plum,48,0.689,0.728,-5.528,0.56,2
Better Together,Hayden James,0,0.759,0.812,-6.972,0.753,3
Miracle,CHVRCHES,0,0.577,0.751,-4.204,0.44,1
Clarity,Polish Club,0,0.595,0.92,-3.638,0.232,0
Molotov,Kira Puru,41,0.686,0.754,-5.707,0.507,2
Pussy Is God,King Princess,60,0.739,0.621,-6.929,0.462,1
Sweet Release,Hockey Dad,0,0.26,0.867,-6.163,0.662,2
Smogged Out,Skegss,43,0.569,0.848,-6.179,0.836,3
UFO,Mallrat,0,0.682,0.72,-6.514,0.448,1
Cheetah Tongue,The Wombats,42,0.525,0.968,-3.075,0.591,2
Eastside (with Halsey & Khalid),benny blanco,72,0.632,0.686,-7.665,0.329,1
Tints (feat. Kendrick Lamar),Anderson .Paak,61,0.805,0.833,-6.73,0.703,3
Need You,Flight Facilities,2,0.759,0.739,-6.501,0.444,1
Scream Whole,Methyl Ethel,32,0.794,0.71,-7.24,0.519,2
Mistake,Middle Kids,40,0.515,0.896,-2.825,0.503,2
BOOGIE,BROCKHAMPTON,34,0.604,0.933,-3.034,0.28,1
Killing My Time,G Flip,0,0.838,0.609,-5.865,0.609,2
I Wanna Be Everybody,Hockey Dad,0,0.492,0.863,-6.468,0.753,3
The End,DMA'S,0,0.35,0.855,-6.307,0.327,1
Give Me My Name Back,Meg Mac,37,0.585,0.556,-6.05,0.186,0
Soaked,Bene,0,0.792,0.54,-5.975,0.577,2
Martini,The Presets,51,0.817,0.673,-8.223,0.684,2
Without Me,Halsey,81,0.752,0.488,-7.05,0.533,2
Wasted,Peking Duk,52,0.693,0.76,-5.433,0.751,3
Saturday Sun,Vance Joy,0,0.628,0.869,-4.339,0.701,3
We're Going Home,Vance Joy,0,0.589,0.688,-5.443,0.453,1
Better,Khalid,75,0.596,0.552,-10.278,0.112,0
Mr La Di Da Di,Baker Boy,40,0.806,0.734,-7.763,0.642,2
No Place,RÜFÜS DU SOL,49,0.616,0.867,-6.232,0.198,0
Missing Me,Angie McMahon,37,0.429,0.396,-8.41,0.382,1
When I Dream,San Cisco,48,0.666,0.827,-6.618,0.899,3
Like People,DZ Deathrays,0,0.43,0.89,-5.861,0.493,2
you should see me in a crown,Billie Eilish,1,0.697,0.552,-10.271,0.278,0
MANTRA,Bring Me The Horizon,59,0.502,0.817,-3.508,0.617,2
Clark Griswold,Hilltop Hoods,0,0.828,0.69,-5.732,0.832,3
God's Plan,Drake,82,0.754,0.449,-9.211,0.357,1
Laps Around The Sun,Ziggy Alberts,61,0.768,0.472,-10.047,0.145,0
In The Air,DMA'S,0,0.414,0.712,-6.162,0.502,2
Nice For What,Drake,76,0.585,0.909,-6.474,0.758,3
The Perfect Life Does Not Exist,Ball Park Music,0,0.434,0.649,-7.489,0.454,1
About You,G Flip,0,0.564,0.592,-7.598,0.076,0
Love Me Now,Ziggy Alberts,56,0.739,0.378,-10.25,0.591,2
All Loved Up,Amy Shark,53,0.565,0.603,-6.33,0.171,0
Ladders,Mac Miller,71,0.802,0.463,-8.379,0.291,1
1950,King Princess,76,0.6,0.535,-7.043,0.269,0
Better Now,Post Malone,82,0.68,0.578,-5.804,0.341,1
God Forgot,The Rubens,0,0.692,0.737,-5.798,0.487,2
Church,Alison Wonderland,53,0.551,0.681,-4.873,0.227,0
Sometimes,Cub Sport,41,0.607,0.59,-7.518,0.427,1
Fire,Peking Duk,58,0.679,0.69,-2.744,0.648,2
All The Stars (with SZA),Kendrick Lamar,79,0.698,0.633,-4.946,0.552,2
Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,83,0.76,0.479,-5.574,0.913,3
All The Pretty Girls,Vera Blue,52,0.708,0.591,-5.825,0.618,2
I Miss You,Thundamentals,51,0.73,0.69,-7.019,0.87,3
Leave Me Lonely,Hilltop Hoods,0,0.764,0.868,-5.827,0.754,3
Treat You Better,RÜFÜS DU SOL,55,0.612,0.54,-5.886,0.197,0
Underwater,RÜFÜS DU SOL,54,0.604,0.82,-6.64,0.44,1
Never Ever (feat. Sarah),The Rubens,0,0.729,0.399,-7.159,0.239,0
Waiting,KIAN,0,0.787,0.448,-7.671,0.471,1
Peach,Broods,0,0.688,0.738,-4.829,0.251,0
Join The Club,Hockey Dad,0,0.303,0.967,-4.561,0.228,0
lovely (with Khalid),Billie Eilish,87,0.351,0.296,-10.109,0.12,0
Baby Come Back,Ocean Alley,57,0.492,0.544,-9.13,0.373,1
Just Friends,Hayden James,0,0.639,0.685,-4.571,0.363,1
I'm Good,Wafia,0,0.738,0.696,-3.59,0.892,3
