,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
19,Let You Down,Let You Down,Peking Duk,2017-10-13,218853,47,0.0387,0.557,0.883,1.61e-05,0.107,0.588,-5.069,0.0656,99.963,4
20,Birthdays,More Scared Of You Than You Are Of Me,The Smith Street Band,2017-04-07,213466,37,0.118,0.488,0.867,0.0,0.117,0.372,-3.34,0.061,108.124,4
21,Lemon to a Knife Fight,Lemon to a Knife Fight,The Wombats,2017-11-08,205821,31,0.000725,0.556,0.846,0.0,0.0942,0.722,-3.578,0.044,150.002,4
22,Not Worth Hiding,Not Worth Hiding,Alex the Astronaut,2017-08-22,166913,35,0.0245,0.566,0.65,0.00173,0.158,0.851,-6.782,0.0425,121.407,4
23,rockstar,rockstar,Post Malone,2017-09-15,218320,1,0.13,0.577,0.522,9.03e-05,0.142,0.119,-6.594,0.0984,159.772,4
24,Weekends,Weekends,Amy Shark,2017-03-17,190640,48,0.0423,0.28,0.772,4.58e-05,0.0725,0.356,-5.509,0.141,153.034,3
25,Feel It Still,Feel It Still,Portugal. The Man,2017-03-02,163250,61,0.0406,0.78,0.798,6.31e-05,0.0733,0.771,-5.151,0.0613,78.969,4
26,Be About You,Sponge Cake,Winston Surfshirt,2017-09-29,248590,55,0.383,0.763,0.419,0.00169,0.0732,0.335,-9.916,0.0529,92.044,4
27,Mystik,Mystik,Tash Sultana,2017-10-06,249296,54,0.0223,0.548,0.699,0.000392,0.0903,0.308,-7.149,0.0517,132.798,4
28,Mended,Perennial,Vera Blue,2017-07-21,305120,0,0.208,0.379,0.537,0.00658,0.0641,0.0762,-6.706,0.0405,78.034,4
29,Low Blows,Low Blows,Meg Mac,2017-07-14,212786,43,0.149,0.707,0.706,6.01e-05,0.113,0.469,-5.984,0.0418,97.997,4
30,Lay Down,Visions,Touch Sensitive,2017-09-15,254694,0,0.00343,0.453,0.761,0.0,0.38,0.346,-6.179,0.114,109.797,4
31,NUMB,NUMB,Hayden James,2017-10-06,217296,0,0.194,0.623,0.562,0.0,0.091,0.411,-7.08,0.0415,147.906,4
32,Slow Mover,Slow Mover,Angie McMahon,2017-10-09,190093,50,0.391,0.544,0.478,0.0,0.0824,0.422,-7.099,0.0446,94.935,4
33,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,0,0.00402,0.636,0.517,0.0,0.0874,0.394,-6.759,0.36,139.928,4
34,Passionfruit,More Life,Drake,2017-03-18,298940,1,0.256,0.809,0.463,0.085,0.109,0.364,-11.377,0.0396,111.98,4
35,I Haven’t Been Taking Care Of Myself,I Love You Like A Brother,Alex Lahey,2017-10-06,226649,38,0.000846,0.541,0.884,1.47e-05,0.109,0.486,-4.39,0.0387,95.031,4
36,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,230813,66,0.498,0.736,0.795,1.21e-06,0.254,0.511,-3.299,0.0545,104.066,4
37,bellyache,Bellyache,Billie Eilish,2017-02-24,179172,0,0.468,0.694,0.579,0.0337,0.58,0.41,-8.608,0.0947,99.953,4
38,Got On My Skateboard,Holiday Food,Skegss,2017-04-07,227414,46,0.141,0.498,0.962,0.000425,0.0948,0.673,-3.33,0.0731,78.681,4
39,True Lovers,Paint,Holy Holy,2017-02-24,259964,58,0.433,0.427,0.749,0.0534,0.0903,0.378,-5.092,0.0467,139.031,4
40,Cola,Cola,CamelPhat,2017-06-16,223869,67,0.0245,0.706,0.74,0.512,0.135,0.444,-7.904,0.0325,122.007,3
41,Murder to the Mind,Murder to the Mind,Tash Sultana,2017-04-21,258003,42,0.0916,0.568,0.694,0.00233,0.145,0.577,-5.657,0.0828,86.968,4
42,In Motion (feat. Japanese Wallpaper),In Motion (feat. Japanese Wallpaper),Allday,2017-03-17,223053,0,0.632,0.659,0.435,0.0694,0.0882,0.251,-9.788,0.0571,107.988,4
43,Every Day’s The Weekend,I Love You Like A Brother,Alex Lahey,2017-10-06,190674,42,0.00391,0.464,0.939,0.0038,0.261,0.86,-4.189,0.0436,182.106,4
44,Better,Better,Mallrat,2017-10-13,193923,0,0.115,0.555,0.697,0.0,0.0963,0.168,-5.488,0.0263,103.934,4
45,Want You Back,Something To Tell You,HAIM,2017-07-07,232120,51,0.121,0.635,0.853,0.0,0.371,0.372,-3.926,0.048,112.964,4
46,The Comedown,The Comedown,Ocean Alley,2017-08-11,285692,50,0.021,0.721,0.448,0.000614,0.094,0.549,-8.368,0.0417,125.894,4
47,Passiona,More Scared Of You Than You Are Of Me,The Smith Street Band,2017-04-07,225173,41,0.293,0.358,0.767,0.0,0.103,0.549,-4.261,0.0578,110.49,4
48,On Your Way Down,On Your Way Down,The Jungle Giants,2017-05-12,225000,39,0.00307,0.721,0.782,0.0256,0.0628,0.62,-5.257,0.0423,148.988,4
49,Man's Not Hot,Man's Not Hot,Big Shaq,2017-09-22,186026,1,0.11,0.895,0.885,4.04e-05,0.106,0.633,-4.182,0.268,134.973,4
50,Glorious (feat. Skylar Grey),GEMINI,Macklemore,2017-09-22,220454,75,0.0323,0.731,0.794,2.59e-05,0.112,0.356,-5.126,0.0522,139.994,4
51,Moments (feat. Gavin James),Off The Grid,Bliss n Eso,2017-04-28,237613,0,0.387,0.632,0.724,0.0,0.0991,0.311,-7.183,0.326,82.227,4
52,Homely Feeling,Homely Feeling,Hockey Dad,2017-10-20,140642,0,0.000354,0.46,0.758,0.0,0.0818,0.545,-5.426,0.0571,137.805,4
53,6 Pack,The Kids Will Know It's Bullshit,Dune Rats,2017-01-20,176158,41,0.00198,0.609,0.903,1.73e-06,0.601,0.825,-4.667,0.05,131.905,4
54,Watch Me Read You,Watch Me Read You,Odette,2017-08-17,269332,0,0.624,0.903,0.603,4.48e-06,0.288,0.315,-5.846,0.19,122.045,4
55,Bad Dream,Quiet Ferocity,The Jungle Giants,2017-07-07,271840,51,0.00177,0.686,0.579,0.301,0.066,0.319,-6.104,0.0317,135.006,4
56,The Opener,The Opener,Camp Cope,2017-11-16,220174,22,0.297,0.567,0.757,0.0,0.1,0.759,-5.998,0.0375,97.183,4
57,Used to Be in Love,Quiet Ferocity,The Jungle Giants,2017-07-07,222786,61,0.0022,0.83,0.631,0.0359,0.0539,0.877,-5.238,0.0313,128.013,4
58,Boys,Boys,Charli XCX,2017-07-26,162585,64,0.0646,0.867,0.545,0.000289,0.0505,0.525,-5.192,0.0625,139.943,4
59,21 Grams,Everyone We Know,Thundamentals,2017-02-10,241466,0,0.267,0.612,0.847,0.0,0.225,0.48,-3.225,0.0971,145.917,4
60,Saved,American Teen,Khalid,2017-04-27,206533,70,0.189,0.739,0.448,0.0,0.118,0.553,-10.28,0.138,81.044,4
61,Life Goes On,Life Goes On,E^ST,2017-09-29,210455,51,0.653,0.701,0.605,0.0,0.0753,0.505,-6.024,0.0297,106.968,4
62,Fool's Gold,Fool's Gold,Jack River,2017-06-22,257134,0,0.0158,0.438,0.661,0.0,0.103,0.355,-6.412,0.0319,79.874,4
63,Everything Now,Everything Now,Arcade Fire,2017-07-28,303013,62,0.00171,0.548,0.865,0.000449,0.457,0.61,-5.325,0.0302,116.046,4
64,Lemon,NO ONE EVER REALLY DIES,N.E.R.D,2017-12-15,219706,62,0.00214,0.916,0.727,0.000145,0.118,0.201,-6.556,0.0861,94.997,4
65,Shred For Summer,Shred For Summer,DZ Deathrays,2017-08-03,239521,0,0.000129,0.457,0.912,7.48e-06,0.292,0.229,-4.695,0.0534,107.06,4
66,Golden,"After Hours, Close To Dawn",Kingswood,2017-02-17,202000,47,0.529,0.735,0.494,0.00374,0.159,0.436,-8.657,0.0427,80.003,3
67,"I Love You, Will You Marry Me",YUNGBLUD,YUNGBLUD,2018-01-19,177600,0,3.98e-05,0.519,0.907,0.0,0.089,0.564,-4.773,0.0605,149.956,4
68,Amsterdam,Broken Machine (Deluxe),Nothing But Thieves,2017-09-08,272240,64,0.00403,0.511,0.934,3.48e-05,0.242,0.668,-4.561,0.242,168.062,4
69,Perfect Places,Melodrama,Lorde,2017-06-16,221874,0,0.00289,0.621,0.574,3.04e-05,0.128,0.537,-5.325,0.0555,104.344,4
70,In Cold Blood,RELAXER,alt-J,2017-06-02,206853,0,0.145,0.497,0.712,0.000426,0.264,0.605,-6.536,0.0374,143.442,4
71,Nuclear Fusion,Flying Microtonal Banana,King Gizzard & The Lizard Wizard,2017-02-24,255453,0,0.337,0.427,0.783,0.811,0.162,0.608,-6.256,0.0391,86.633,4
72,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706,82,0.00264,0.732,0.75,0.0,0.109,0.401,-6.366,0.231,155.096,4
73,Braindead,The Kids Will Know It's Bullshit,Dune Rats,2017-01-20,182340,35,1.23e-05,0.436,0.953,0.446,0.112,0.52,-5.406,0.06,134.86,4
74,Cloud 9,Cloud 9,Baker Boy,2017-04-27,194707,35,0.111,0.857,0.683,0.0,0.205,0.365,-6.789,0.382,109.832,4
75,Million Man,Million Man,The Rubens,2017-10-27,192106,0,0.203,0.472,0.544,0.0,0.0986,0.312,-5.611,0.0997,98.873,4
76,Electric Feel - triple j Like A Version,Electric Feel (triple j Like A Version),Tash Sultana,2017-12-15,514893,45,0.857,0.495,0.459,0.283,0.108,0.244,-8.585,0.045,127.64,4
77,"Hey, Did I Do You Wrong?",The Water,San Cisco,2017-05-05,184333,38,0.475,0.692,0.753,0.0,0.334,0.889,-7.278,0.0315,105.037,4
78,Say Something Loving,I See You,The xx,2017-01-13,238373,27,0.296,0.627,0.721,6.41e-05,0.231,0.383,-7.782,0.0304,130.08,4
79,Liability,Melodrama,Lorde,2017-06-16,171727,0,0.923,0.534,0.218,0.0,0.0944,0.345,-11.16,0.111,76.715,4
80,1-800-273-8255,Everybody,Logic,2017-05-05,250173,1,0.568,0.627,0.572,1.52e-06,0.198,0.361,-7.738,0.0373,100.041,4
81,Blood Brothers,Night Thinker - EP,Amy Shark,2017-04-21,225865,39,0.0251,0.645,0.733,0.0,0.455,0.271,-6.28,0.209,91.02,4
82,Oceans,Oceans,Vallis Alps,2017-09-01,199948,47,0.153,0.752,0.645,0.0154,0.229,0.425,-8.594,0.0307,119.973,4
83,Does This Last,Does This Last,Boo Seeka,2017-02-23,212741,44,0.411,0.447,0.637,4.84e-06,0.118,0.155,-7.074,0.0349,140.978,3
84,Maybe It’s My First Time,Low Blows,Meg Mac,2017-07-14,213240,38,0.339,0.704,0.645,0.0,0.162,0.606,-6.515,0.0334,90.975,4
85,The Way You Used to Do,Villains,Queens of the Stone Age,2017-08-25,274281,34,0.0102,0.474,0.843,0.104,0.362,0.433,-5.909,0.272,97.691,4
86,Dawning,Dawning,DMA'S,2017-10-04,189005,0,5.49e-05,0.302,0.858,0.0,0.383,0.503,-1.808,0.0388,140.131,4
87,Hyperreal,Hyperreal,Flume,2017-05-05,254062,0,0.0354,0.65,0.842,0.0619,0.155,0.535,-5.211,0.309,109.868,4
88,Big For Your Boots,Gang Signs & Prayer,Stormzy,2017-02-24,238418,59,0.0313,0.515,0.902,0.0,0.093,0.628,-4.729,0.383,174.589,5
89,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,213400,0,0.289,0.801,0.58,0.0,0.153,0.777,-7.311,0.1,126.062,4
90,Do What You Want,Do What You Want,The Presets,2017-11-01,181133,0,0.00123,0.666,0.839,0.0021,0.145,0.845,-5.493,0.0827,144.965,4
91,Second Hand Car,Weight_Falls,Kim Churchill,2017-08-18,221493,45,0.0651,0.649,0.81,2.32e-06,0.0847,0.634,-5.574,0.0486,103.157,4
92,Mask Off,FUTURE,Future,2017-06-30,204600,79,0.0102,0.833,0.434,0.0219,0.165,0.281,-8.795,0.431,150.062,4
93,Chasin',BATS,Cub Sport,2017-09-22,191160,46,0.201,0.471,0.667,2.26e-06,0.0869,0.319,-6.395,0.0435,94.025,4
94,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,227360,0,0.021,0.681,0.523,0.0,0.178,0.473,-8.963,0.0542,110.812,4
95,Snow,Snow,Angus & Julia Stone,2017-09-15,252160,45,0.16,0.741,0.571,0.0076,0.113,0.813,-7.541,0.0289,105.732,4
96,Arty Boy,Arty Boy,Flight Facilities,2017-06-21,232188,0,0.305,0.855,0.523,0.0,0.0675,0.628,-4.559,0.0374,117.025,4
97,Don't Leave,Don't Leave,Snakehips,2017-01-06,214693,64,0.222,0.657,0.703,0.0,0.256,0.338,-3.402,0.0753,122.381,4
